date,pred_ret_1d,pred_ret_5d,logvar_1d,pred_direction,actual_ret_1d,actual_direction,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2026-03-20,-0.011912,-0.002601,0.172339,-1,0.011414,1,0,-0.011414,0.088283,-0.045870
2026-03-23,-0.012904,0.013694,0.162421,-1,-0.006860,-1,1,0.006860,0.095144,-0.052730
2026-03-24,-0.002087,0.013267,0.171780,-1,0.006554,1,0,-0.006554,0.088590,-0.046176
2026-03-25,-0.007541,0.015708,0.180650,-1,-0.024157,-1,1,0.024157,0.112747,-0.070333
2026-03-26,0.002665,0.009815,0.166567,1,-0.019730,-1,0,-0.019730,0.093017,-0.090063
2026-03-27,-0.006540,-0.000769,0.171779,-1,-0.007673,-1,1,0.007673,0.100689,-0.097736
2026-03-30,0.007156,0.008341,0.171670,1,0.033293,1,1,0.033293,0.133983,-0.064443
2026-03-31,-0.015443,-0.001834,0.191350,-1,0.012277,1,0,-0.012277,0.121705,-0.052165
2026-04-01,-0.013837,-0.005773,0.205302,-1,0.001146,1,0,-0.001146,0.120560,-0.051019
2026-04-02,0.011052,0.007975,0.173180,1,0.005999,1,1,0.005999,0.126559,-0.045020
2026-04-06,0.000645,0.015089,0.180713,1,0.000153,1,1,0.000153,0.126712,-0.044867
2026-04-07,0.002744,0.011782,0.179190,1,0.029299,1,1,0.029299,0.156010,-0.015568
2026-04-08,-0.004310,0.016591,0.187396,-1,0.006742,1,0,-0.006742,0.149269,-0.008826
2026-04-09,0.005396,0.012832,0.186926,1,0.001441,1,1,0.001441,0.150710,-0.007385
2026-04-10,0.004228,0.019083,0.186844,1,0.010289,1,1,0.010289,0.160999,0.002904
2026-04-13,-0.001785,0.017489,0.186666,-1,0.017994,1,0,-0.017994,0.143005,0.020898
2026-04-14,-0.002930,0.013293,0.186611,-1,0.013902,1,0,-0.013902,0.129103,0.034801
2026-04-15,0.001152,0.009578,0.182463,1,0.004805,1,1,0.004805,0.133907,0.039605
2026-04-16,-0.001556,0.014511,0.182497,-1,0.012999,1,0,-0.012999,0.120908,0.052605
2026-04-17,-0.008051,0.008346,0.184585,-1,-0.003180,-1,1,0.003180,0.124088,0.049425
2026-04-20,-0.014761,0.005721,0.180381,-1,-0.003811,-1,1,0.003811,0.127899,0.045614
2026-04-21,-0.005451,0.010712,0.182308,-1,0.016592,1,0,-0.016592,0.111307,0.062206
2026-04-22,0.001803,0.004483,0.191234,1,-0.005649,-1,0,-0.005649,0.105658,0.056558
2026-04-23,0.008525,0.029675,0.207313,1,,0,0,,0.105658,0.056558
2026-04-24,0.001817,0.019296,0.193082,1,,0,0,,0.105658,0.056558
2026-04-27,-0.002955,0.021236,0.201455,-1,,0,0,,0.105658,0.056558
2026-04-28,0.013305,0.008860,0.210042,1,,0,0,,0.105658,0.056558
2026-04-29,0.017661,-0.004137,0.192947,1,,0,0,,0.105658,0.056558
