date,vote_sum,vote_sign,actual_ret_1d,pos_vanilla_long_short,pos_long_only,pos_high_conf_5,pos_conf_weighted,pos_vol_target,pos_trend_filter,pos_stop_loss,pos_two_tier,pnl_vanilla,pnl_long_only,pnl_high_conf,pnl_conf_weighted,pnl_vol_target,pnl_trend_filter,pnl_stop_loss,pnl_two_tier
2026-01-09,5,1,0.000829,1.000000,1.000000,1.000000,1.000000,1.552035,1.000000,1.000000,1.500000,0.000829,0.000829,0.000829,0.000829,0.001287,0.000829,0.000829,0.001244
2026-01-12,5,1,-0.001484,1.000000,1.000000,1.000000,1.000000,1.620149,1.000000,1.000000,1.500000,-0.001484,-0.001484,-0.001484,-0.001484,-0.002404,-0.001484,-0.001484,-0.002226
2026-01-13,5,1,-0.010740,1.000000,1.000000,1.000000,1.000000,1.483510,0.000000,1.000000,1.500000,-0.010740,-0.010740,-0.010740,-0.010740,-0.015933,-0.000000,-0.010740,-0.016110
2026-01-14,5,1,0.003593,1.000000,1.000000,1.000000,1.000000,1.519510,1.000000,1.000000,1.500000,0.003593,0.003593,0.003593,0.003593,0.005460,0.003593,0.003593,0.005390
2026-01-15,5,1,-0.000837,1.000000,1.000000,1.000000,1.000000,1.576359,0.000000,1.000000,1.500000,-0.000837,-0.000837,-0.000837,-0.000837,-0.001319,-0.000000,-0.000837,-0.001255
2026-01-16,5,1,-0.021476,1.000000,1.000000,1.000000,1.000000,1.203932,0.000000,1.000000,1.500000,-0.021476,-0.021476,-0.021476,-0.021476,-0.025856,-0.000000,-0.020000,-0.032214
2026-01-20,3,1,0.013428,1.000000,1.000000,0.000000,0.600000,0.672593,0.000000,1.000000,1.000000,0.013428,0.013428,0.000000,0.008057,0.009032,0.000000,0.013428,0.013428
2026-01-21,3,1,0.007243,1.000000,1.000000,0.000000,0.600000,0.675700,1.000000,1.000000,1.000000,0.007243,0.007243,0.000000,0.004346,0.004894,0.007243,0.007243,0.007243
2026-01-22,1,1,0.003152,1.000000,1.000000,0.000000,0.200000,0.230688,1.000000,1.000000,0.000000,0.003152,0.003152,0.000000,0.000630,0.000727,0.003152,0.003152,0.000000
2026-01-23,3,1,0.004390,1.000000,1.000000,0.000000,0.600000,0.705453,1.000000,1.000000,1.000000,0.004390,0.004390,0.000000,0.002634,0.003097,0.004390,0.004390,0.004390
2026-01-26,1,1,0.009024,1.000000,1.000000,0.000000,0.200000,0.228272,1.000000,1.000000,0.000000,0.009024,0.009024,0.000000,0.001805,0.002060,0.009024,0.009024,0.000000
2026-01-27,5,1,0.003306,1.000000,1.000000,1.000000,1.000000,1.152637,1.000000,1.000000,1.500000,0.003306,0.003306,0.003306,0.003306,0.003811,0.003306,0.003306,0.004959
2026-01-28,5,1,-0.006003,1.000000,1.000000,1.000000,1.000000,1.136198,1.000000,1.000000,1.500000,-0.006003,-0.006003,-0.006003,-0.006003,-0.006821,-0.006003,-0.006003,-0.009004
2026-01-29,-1,-1,-0.012084,-1.000000,0.000000,0.000000,-0.200000,-0.220427,-1.000000,-1.000000,0.000000,0.012084,-0.000000,-0.000000,0.002417,0.002664,0.012084,0.012084,-0.000000
2026-01-30,3,1,0.006843,1.000000,1.000000,0.000000,0.600000,0.654643,1.000000,1.000000,1.000000,0.006843,0.006843,0.000000,0.004106,0.004480,0.006843,0.006843,0.006843
2026-02-02,1,1,-0.015483,1.000000,1.000000,0.000000,0.200000,0.204414,0.000000,1.000000,0.000000,-0.015483,-0.015483,-0.000000,-0.003097,-0.003165,-0.000000,-0.015483,-0.000000
2026-02-03,1,1,-0.017623,1.000000,1.000000,0.000000,0.200000,0.193253,0.000000,1.000000,0.000000,-0.017623,-0.017623,-0.000000,-0.003525,-0.003406,-0.000000,-0.017623,-0.000000
2026-02-04,1,1,-0.014500,1.000000,1.000000,0.000000,0.200000,0.185601,0.000000,1.000000,0.000000,-0.014500,-0.014500,-0.000000,-0.002900,-0.002691,-0.000000,-0.014500,-0.000000
2026-02-05,3,1,0.020918,1.000000,1.000000,0.000000,0.600000,0.498544,0.000000,1.000000,1.000000,0.020918,0.020918,0.000000,0.012551,0.010429,0.000000,0.020918,0.020918
2026-02-06,3,1,0.007631,1.000000,1.000000,0.000000,0.600000,0.503096,0.000000,1.000000,1.000000,0.007631,0.007631,0.000000,0.004579,0.003839,0.000000,0.007631,0.007631
2026-02-09,1,1,-0.004650,1.000000,1.000000,0.000000,0.200000,0.167402,0.000000,1.000000,0.000000,-0.004650,-0.004650,-0.000000,-0.000930,-0.000778,-0.000000,-0.004650,-0.000000
2026-02-10,3,1,0.002678,1.000000,1.000000,0.000000,0.600000,0.500694,0.000000,1.000000,1.000000,0.002678,0.002678,0.000000,0.001607,0.001341,0.000000,0.002678,0.002678
2026-02-11,-1,-1,-0.020549,-1.000000,0.000000,0.000000,-0.200000,-0.158023,-1.000000,-1.000000,0.000000,0.020549,-0.000000,-0.000000,0.004110,0.003247,0.020549,0.020549,-0.000000
2026-02-12,-1,-1,0.002129,-1.000000,0.000000,0.000000,-0.200000,-0.158403,-1.000000,-1.000000,0.000000,-0.002129,0.000000,0.000000,-0.000426,-0.000337,-0.002129,-0.002129,0.000000
2026-02-13,-3,-1,-0.001031,-1.000000,0.000000,0.000000,-0.600000,-0.475233,-1.000000,-1.000000,-1.000000,0.001031,-0.000000,-0.000000,0.000619,0.000490,0.001031,0.001031,0.001031
2026-02-17,3,1,0.007439,1.000000,1.000000,0.000000,0.600000,0.509690,0.000000,1.000000,1.000000,0.007439,0.007439,0.000000,0.004463,0.003792,0.000000,0.007439,0.007439
2026-02-18,-3,-1,-0.003837,-1.000000,0.000000,0.000000,-0.600000,-0.531252,-1.000000,-1.000000,-1.000000,0.003837,-0.000000,-0.000000,0.002302,0.002038,0.003837,0.003837,0.003837
2026-02-19,1,1,0.008810,1.000000,1.000000,0.000000,0.200000,0.175936,0.000000,1.000000,0.000000,0.008810,0.008810,0.000000,0.001762,0.001550,0.000000,0.008810,0.000000
2026-02-20,5,1,-0.012229,1.000000,1.000000,1.000000,1.000000,0.860676,0.000000,1.000000,1.500000,-0.012229,-0.012229,-0.012229,-0.012229,-0.010525,-0.000000,-0.012229,-0.018343
2026-02-23,5,1,0.010684,1.000000,1.000000,1.000000,1.000000,0.839880,0.000000,1.000000,1.500000,0.010684,0.010684,0.010684,0.010684,0.008973,0.000000,0.010684,0.016026
2026-02-24,5,1,0.014389,1.000000,1.000000,1.000000,1.000000,0.816536,1.000000,1.000000,1.500000,0.014389,0.014389,0.014389,0.014389,0.011749,0.014389,0.014389,0.021584
2026-02-25,5,1,-0.012138,1.000000,1.000000,1.000000,1.000000,0.802664,0.000000,1.000000,1.500000,-0.012138,-0.012138,-0.012138,-0.012138,-0.009743,-0.000000,-0.012138,-0.018207
2026-02-26,5,1,-0.003206,1.000000,1.000000,1.000000,1.000000,0.805014,0.000000,1.000000,1.500000,-0.003206,-0.003206,-0.003206,-0.003206,-0.002581,-0.000000,-0.003206,-0.004809
2026-02-27,1,1,0.001316,1.000000,1.000000,0.000000,0.200000,0.164342,0.000000,1.000000,0.000000,0.001316,0.001316,0.000000,0.000263,0.000216,0.000000,0.001316,0.000000
2026-03-02,5,1,-0.010763,1.000000,1.000000,1.000000,1.000000,0.819418,0.000000,1.000000,1.500000,-0.010763,-0.010763,-0.010763,-0.010763,-0.008819,-0.000000,-0.010763,-0.016144
2026-03-03,1,1,0.015128,1.000000,1.000000,0.000000,0.200000,0.161822,0.000000,1.000000,0.000000,0.015128,0.015128,0.000000,0.003026,0.002448,0.000000,0.015128,0.000000
2026-03-04,-1,-1,-0.003017,-1.000000,0.000000,0.000000,-0.200000,-0.172030,-1.000000,-1.000000,0.000000,0.003017,-0.000000,-0.000000,0.000603,0.000519,0.003017,0.003017,-0.000000
2026-03-05,-1,-1,-0.015158,-1.000000,0.000000,0.000000,-0.200000,-0.171291,-1.000000,-1.000000,0.000000,0.015158,-0.000000,-0.000000,0.003032,0.002596,0.015158,0.015158,-0.000000
2026-03-06,-1,-1,0.013267,-1.000000,0.000000,0.000000,-0.200000,-0.181860,-1.000000,-1.000000,0.000000,-0.013267,0.000000,0.000000,-0.002653,-0.002413,-0.013267,-0.013267,0.000000
2026-03-09,-3,-1,0.000016,-1.000000,0.000000,0.000000,-0.600000,-0.554223,-1.000000,-1.000000,-1.000000,-0.000016,0.000000,0.000000,-0.000010,-0.000009,-0.000016,-0.000016,-0.000016
2026-03-10,5,1,-0.000132,1.000000,1.000000,1.000000,1.000000,0.927863,0.000000,1.000000,1.500000,-0.000132,-0.000132,-0.000132,-0.000132,-0.000122,-0.000000,-0.000132,-0.000198
2026-03-11,-1,-1,-0.017312,-1.000000,0.000000,0.000000,-0.200000,-0.174416,-1.000000,-1.000000,0.000000,0.017312,-0.000000,-0.000000,0.003462,0.003019,0.017312,0.017312,-0.000000
2026-03-12,3,1,-0.005945,1.000000,1.000000,0.000000,0.600000,0.571280,0.000000,1.000000,1.000000,-0.005945,-0.005945,-0.000000,-0.003567,-0.003396,-0.000000,-0.005945,-0.005945
2026-03-13,5,1,0.011155,1.000000,1.000000,1.000000,1.000000,0.921545,0.000000,1.000000,1.500000,0.011155,0.011155,0.011155,0.011155,0.010280,0.000000,0.011155,0.016733
2026-03-16,5,1,0.004868,1.000000,1.000000,1.000000,1.000000,0.916420,0.000000,1.000000,1.500000,0.004868,0.004868,0.004868,0.004868,0.004461,0.000000,0.004868,0.007302
2026-03-17,5,1,-0.014038,1.000000,1.000000,1.000000,1.000000,0.889145,0.000000,1.000000,1.500000,-0.014038,-0.014038,-0.014038,-0.014038,-0.012482,-0.000000,-0.014038,-0.021057
2026-03-18,3,1,-0.003165,1.000000,1.000000,0.000000,0.600000,0.533924,0.000000,1.000000,1.000000,-0.003165,-0.003165,-0.000000,-0.001899,-0.001690,-0.000000,-0.003165,-0.003165
2026-03-19,-1,-1,-0.018655,-1.000000,0.000000,0.000000,-0.200000,-0.170766,-1.000000,-1.000000,0.000000,0.018655,-0.000000,-0.000000,0.003731,0.003186,0.018655,0.018655,-0.000000
2026-03-20,3,1,0.011414,1.000000,1.000000,0.000000,0.600000,0.505921,0.000000,1.000000,1.000000,0.011414,0.011414,0.000000,0.006848,0.005775,0.000000,0.011414,0.011414
2026-03-23,3,1,-0.006860,1.000000,1.000000,0.000000,0.600000,0.519125,0.000000,1.000000,1.000000,-0.006860,-0.006860,-0.000000,-0.004116,-0.003561,-0.000000,-0.006860,-0.006860
2026-03-24,3,1,0.006554,1.000000,1.000000,0.000000,0.600000,0.543352,0.000000,1.000000,1.000000,0.006554,0.006554,0.000000,0.003932,0.003561,0.000000,0.006554,0.006554
2026-03-25,3,1,-0.024157,1.000000,1.000000,0.000000,0.600000,0.500138,0.000000,1.000000,1.000000,-0.024157,-0.024157,-0.000000,-0.014494,-0.012082,-0.000000,-0.020000,-0.024157
2026-03-26,5,1,-0.019730,1.000000,1.000000,1.000000,1.000000,0.791213,0.000000,1.000000,1.500000,-0.019730,-0.019730,-0.019730,-0.019730,-0.015611,-0.000000,-0.019730,-0.029595
2026-03-27,3,1,-0.007673,1.000000,1.000000,0.000000,0.600000,0.476004,0.000000,1.000000,1.000000,-0.007673,-0.007673,-0.000000,-0.004604,-0.003652,-0.000000,-0.007673,-0.007673
2026-03-30,5,1,0.033293,1.000000,1.000000,1.000000,1.000000,0.654362,0.000000,1.000000,1.500000,0.033293,0.033293,0.033293,0.033293,0.021786,0.000000,0.033293,0.049940
2026-03-31,5,1,0.012277,1.000000,1.000000,1.000000,1.000000,0.661922,0.000000,1.000000,1.500000,0.012277,0.012277,0.012277,0.012277,0.008126,0.000000,0.012277,0.018416
2026-04-01,3,1,0.001146,1.000000,1.000000,0.000000,0.600000,0.396680,0.000000,1.000000,1.000000,0.001146,0.001146,0.000000,0.000688,0.000455,0.000000,0.001146,0.001146
2026-04-02,3,1,0.005999,1.000000,1.000000,0.000000,0.600000,0.403710,0.000000,1.000000,1.000000,0.005999,0.005999,0.000000,0.003599,0.002422,0.000000,0.005999,0.005999
2026-04-06,3,1,0.000153,1.000000,1.000000,0.000000,0.600000,0.415391,0.000000,1.000000,1.000000,0.000153,0.000153,0.000000,0.000092,0.000064,0.000000,0.000153,0.000153
2026-04-07,1,1,0.029299,1.000000,1.000000,0.000000,0.200000,0.123554,1.000000,1.000000,0.000000,0.029299,0.029299,0.000000,0.005860,0.003620,0.029299,0.029299,0.000000
2026-04-08,3,1,0.006742,1.000000,1.000000,0.000000,0.600000,0.368837,1.000000,1.000000,1.000000,0.006742,0.006742,0.000000,0.004045,0.002487,0.006742,0.006742,0.006742
2026-04-09,5,1,0.001441,1.000000,1.000000,1.000000,1.000000,0.638288,1.000000,1.000000,1.500000,0.001441,0.001441,0.001441,0.001441,0.000920,0.001441,0.001441,0.002162
2026-04-10,5,1,0.010289,1.000000,1.000000,1.000000,1.000000,0.636898,1.000000,1.000000,1.500000,0.010289,0.010289,0.010289,0.010289,0.006553,0.010289,0.010289,0.015433
2026-04-13,5,1,0.017994,1.000000,1.000000,1.000000,1.000000,0.624377,1.000000,1.000000,1.500000,0.017994,0.017994,0.017994,0.017994,0.011235,0.017994,0.017994,0.026991
2026-04-14,3,1,0.013902,1.000000,1.000000,0.000000,0.600000,0.369447,1.000000,1.000000,1.000000,0.013902,0.013902,0.000000,0.008341,0.005136,0.013902,0.013902,0.013902
2026-04-15,-1,-1,0.004805,-1.000000,0.000000,0.000000,-0.200000,-0.127462,-1.000000,-1.000000,0.000000,-0.004805,0.000000,0.000000,-0.000961,-0.000612,-0.004805,-0.004805,0.000000
2026-04-16,3,1,0.012999,1.000000,1.000000,0.000000,0.600000,0.381267,1.000000,1.000000,1.000000,0.012999,0.012999,0.000000,0.007799,0.004956,0.012999,0.012999,0.012999
2026-04-17,1,1,-0.003180,1.000000,1.000000,0.000000,0.200000,0.135238,1.000000,1.000000,0.000000,-0.003180,-0.003180,-0.000000,-0.000636,-0.000430,-0.003180,-0.003180,-0.000000
2026-04-20,1,1,-0.003811,1.000000,1.000000,0.000000,0.200000,0.134603,1.000000,1.000000,0.000000,-0.003811,-0.003811,-0.000000,-0.000762,-0.000513,-0.003811,-0.003811,-0.000000
2026-04-21,5,1,0.016592,1.000000,1.000000,1.000000,1.000000,0.674257,1.000000,1.000000,1.500000,0.016592,0.016592,0.016592,0.016592,0.011187,0.016592,0.016592,0.024888
2026-04-22,5,1,-0.005649,1.000000,1.000000,1.000000,1.000000,0.663518,1.000000,1.000000,1.500000,-0.005649,-0.005649,-0.005649,-0.005649,-0.003748,-0.005649,-0.005649,-0.008474
