date,ensemble_signal,pred_direction,actual_ret_1d,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2026-04-08,0.001569,1,0.006742,1,0.006742,0.035831,-0.021011
2026-04-09,0.005058,1,0.001441,1,0.001441,0.037272,-0.019570
2026-04-10,0.005244,1,0.010289,1,0.010289,0.047561,-0.009281
2026-04-13,0.003243,1,0.017994,1,0.017994,0.065555,0.008713
2026-04-14,0.001370,1,0.013902,1,0.013902,0.079457,0.022615
2026-04-15,-0.001059,-1,0.004805,0,-0.004805,0.074652,0.027420
2026-04-16,0.001027,1,0.012999,1,0.012999,0.087651,0.040419
2026-04-17,-0.000255,-1,-0.003180,1,0.003180,0.090831,0.037239
2026-04-20,0.000265,1,-0.003811,0,-0.003811,0.087020,0.033428
2026-04-21,0.002478,1,0.016592,1,0.016592,0.103612,0.050020
2026-04-22,0.001922,1,-0.005649,0,-0.005649,0.097963,0.044371
