feature,domain,baseline_sharpe,permuted_sharpe,sharpe_drop,rank
qqq_macd_hist_norm,qqq_primary,1.562700,1.562700,0.000000,95
qqq_williams_r14,qqq_primary,1.562700,1.562700,0.000000,96
qqq_yz_vol_20d,qqq_primary,1.562700,1.562700,0.000000,97
qqq_dist_52w_high,qqq_primary,1.562700,1.562700,0.000000,98
qqq_dist_52w_low,qqq_primary,1.562700,1.562700,0.000000,99
qqq_mom_3m,qqq_primary,1.562700,1.562700,0.000000,100
qqq_mom_12m,qqq_primary,1.562700,1.562700,0.000000,101
qqq_max_1m_ret,qqq_primary,1.562700,1.562700,0.000000,102
qqq_amihud_20d,qqq_primary,1.562700,1.562700,0.000000,103
xlk_logret_5d,sectors,1.562700,1.562700,0.000000,104
xlf_logret_1d,sectors,1.562700,1.562700,0.000000,105
xlf_logret_5d,sectors,1.562700,1.562700,0.000000,106
xli_ma20_z,sectors,1.562700,1.562700,0.000000,107
vix_logret_5d,volatility_regime,1.562700,1.562700,0.000000,108
vxn_logret_5d,volatility_regime,1.562700,1.562700,0.000000,109
move,volatility_regime,1.562700,1.562700,0.000000,110
vvix_over_vix,volatility_regime,1.562700,1.562700,0.000000,111
yld_10y,yields_curve,1.562700,1.562700,0.000000,112
yld_10y_20d,yields_curve,1.562700,1.562700,0.000000,113
yld_5y,yields_curve,1.562700,1.562700,0.000000,114
yld_30y,yields_curve,1.562700,1.562700,0.000000,115
term_10y_5y,yields_curve,1.562700,1.562700,0.000000,116
term_30y_10y,yields_curve,1.562700,1.562700,0.000000,117
tip_logret_5d,bonds_credit,1.562700,1.562700,0.000000,118
dxy_logret_5d,fx_macro,1.562700,1.562700,0.000000,119
copper_logret_1d,commodities,1.562700,1.562700,0.000000,120
gold_over_qqq,commodities,1.562700,1.562700,0.000000,121
copper_gold_ratio,commodities,1.562700,1.562700,0.000000,122
qqq_over_spy,qqq_primary,1.562700,1.562700,0.000000,123
dia_logret_5d,benchmarks,1.562700,1.562700,0.000000,124
qqq_over_dia,qqq_primary,1.562700,1.562700,0.000000,125
efa_logret_5d,benchmarks,1.562700,1.562700,0.000000,126
qqq_over_efa,qqq_primary,1.562700,1.562700,0.000000,127
eem_logret_5d,benchmarks,1.562700,1.562700,0.000000,128
qqq_over_eem,qqq_primary,1.562700,1.562700,0.000000,129
sec_xlu_logret_5d,sectors,1.562700,1.562700,0.000000,130
sector_dispersion_20d,sectors,1.562700,1.562700,0.000000,131
qqq_over_ixic,qqq_primary,1.562700,1.562700,0.000000,132
ibb_logret_20d,industry_tilts,1.562700,1.562700,0.000000,133
dow_wed,calendar,1.562700,1.562700,0.000000,134
fomc_day,calendar,1.562700,1.562700,0.000000,135
qqq_rev_1m,qqq_primary,1.562700,1.589300,-0.026700,136
qqq_gk_vol_20d,qqq_primary,1.562700,1.595600,-0.032900,137
skew,volatility_regime,1.562700,1.595600,-0.032900,138
shy_logret_20d,bonds_credit,1.562700,1.595600,-0.032900,139
qqq_over_spy_5d,qqq_primary,1.562700,1.601700,-0.039000,140
qqq_logret_252d,qqq_primary,1.562700,1.611700,-0.049000,141
qqq_mom_12_2,qqq_primary,1.562700,1.611700,-0.049000,142
ief_logret_5d,bonds_credit,1.562700,1.611700,-0.049000,143
tlt_logret_20d,bonds_credit,1.562700,1.612500,-0.049800,144
xli_logret_5d,sectors,1.562700,1.616200,-0.053600,145
gold_logret_20d,commodities,1.562700,1.644600,-0.082000,146
spy_logret_5d,benchmarks,1.562700,1.644600,-0.082000,147
usdjpy_logret_5d,fx_macro,1.562700,1.648600,-0.086000,148
xlk_logret_1d,sectors,1.562700,1.652900,-0.090300,149
dxy_logret_1d,fx_macro,1.562700,1.652900,-0.090300,150
silver_logret_1d,commodities,1.562700,1.657400,-0.094700,151
xlb_logret_1d,sectors,1.562700,1.659200,-0.096500,152
var_ratio_20_1,autoregressive,1.562700,1.659200,-0.096500,153
fomc_week,calendar,1.562700,1.659200,-0.096500,154
qqq_rev_1w,qqq_primary,1.562700,1.668800,-0.106100,155
xlf_ma20_z,sectors,1.562700,1.668800,-0.106100,156
n225_logret_5d,intl_risk,1.562700,1.668800,-0.106100,157
qqq_over_dia_5d,qqq_primary,1.562700,1.691100,-0.128400,158
smh_logret_20d,industry_tilts,1.562700,1.700600,-0.137900,159
xlu_ma20_z,sectors,1.562700,1.709100,-0.146400,160
vrp_proxy,volatility_regime,1.562700,1.717900,-0.155200,161
xlv_logret_20d,sectors,1.562700,1.724900,-0.162300,162
qqq_over_iwm_5d,qqq_primary,1.562700,1.733600,-0.170900,163
qqq_close_to_sma10,qqq_primary,1.562700,1.735000,-0.172400,164
xlb_logret_20d,sectors,1.562700,1.748000,-0.185400,165
vix_over_vix3m,volatility_regime,1.562700,1.749700,-0.187100,166
lag_ret_1d,autoregressive,1.562700,1.750900,-0.188200,167
soxx_logret_20d,industry_tilts,1.562700,1.759200,-0.196600,168
vxn_logret_1d,volatility_regime,1.562700,1.760200,-0.197500,169
gold_logret_5d,commodities,1.562700,1.762700,-0.200100,170
xlp_logret_1d,sectors,1.562700,1.772400,-0.209700,171
usdjpy_logret_1d,fx_macro,1.562700,1.775100,-0.212500,172
xlv_logret_5d,sectors,1.562700,1.776800,-0.214200,173
shy_logret_5d,bonds_credit,1.562700,1.779200,-0.216500,174
xlv_ma20_z,sectors,1.562700,1.783200,-0.220600,175
qqq_vol_z60,qqq_primary,1.562700,1.787300,-0.224700,176
xlk_ma20_z,sectors,1.562700,1.791100,-0.228400,177
xlu_logret_1d,sectors,1.562700,1.792300,-0.229700,178
qqq_over_smh_5d,qqq_primary,1.562700,1.806900,-0.244300,179
xly_ma20_z,sectors,1.562700,1.812700,-0.250000,180
copper_logret_5d,commodities,1.562700,1.828400,-0.265800,181
lag_ret_2d,autoregressive,1.562700,1.843300,-0.280700,182
xlu_logret_20d,sectors,1.562700,1.885700,-0.323100,183
xlk_minus_xlp_5d,sectors,1.562700,1.895700,-0.333000,184
vxn_over_vix,volatility_regime,1.562700,1.896900,-0.334200,185
qqq_bb_z20,qqq_primary,1.562700,1.900600,-0.337900,186
soxx_logret_5d,industry_tilts,1.562700,1.916800,-0.354100,187
qqq_over_eem_5d,qqq_primary,1.562700,1.927700,-0.365000,188
qqq_vol_z20,qqq_primary,1.562700,1.935100,-0.372400,189
qqq_close_to_sma50,qqq_primary,1.562700,1.967000,-0.404400,190
sec_xlf_logret_5d,sectors,1.562700,1.976000,-0.413400,191
xli_logret_20d,sectors,1.562700,1.979600,-0.417000,192
sec_xlv_logret_5d,sectors,1.562700,2.041500,-0.478800,193
qqq_natr14,qqq_primary,1.562700,2.043800,-0.481100,194
ibb_logret_5d,industry_tilts,1.562700,2.067100,-0.504500,195
qqq_close_to_sma5,qqq_primary,1.562700,2.076100,-0.513400,196
sector_breadth_20d,sectors,1.562700,2.090100,-0.527500,197
dow_fri,calendar,1.562700,2.154400,-0.591800,198
agg_logret_20d,bonds_credit,1.562700,2.179700,-0.617000,199
move_z60,volatility_regime,1.562700,2.224700,-0.662000,200
tip_logret_20d,bonds_credit,1.562700,2.252300,-0.689600,201
smh_logret_5d,industry_tilts,1.562700,2.262000,-0.699300,202
usdjpy_logret_20d,fx_macro,1.562700,2.342300,-0.779700,203
month_sin,calendar,1.562700,2.423900,-0.861300,204
move_logret_5d,volatility_regime,1.562700,3.365200,-1.802500,205
