date,vote_sum,actual_ret_1d,position,pnl,cumulative_pnl,cumulative_buy_hold
2026-02-11,-1,-0.020549,-1.000000,0.020549,0.059647,-0.038043
2026-02-12,-1,0.002129,-1.000000,-0.002129,0.057518,-0.035914
2026-02-13,-3,-0.001031,-1.000000,0.001031,0.058549,-0.036945
2026-02-17,3,0.007439,1.000000,0.007439,0.065988,-0.029506
2026-02-18,-3,-0.003837,-1.000000,0.003837,0.069825,-0.033343
2026-02-19,1,0.008810,1.000000,0.008810,0.078635,-0.024533
2026-02-20,5,-0.012229,1.000000,-0.012229,0.066406,-0.036762
2026-02-23,5,0.010684,1.000000,0.010684,0.077090,-0.026078
2026-02-24,5,0.014389,1.000000,0.014389,0.091479,-0.011689
2026-02-25,5,-0.012138,1.000000,-0.012138,0.079341,-0.023827
2026-02-26,5,-0.003206,1.000000,-0.003206,0.076135,-0.027033
2026-02-27,1,0.001316,1.000000,0.001316,0.077451,-0.025717
2026-03-02,5,-0.010763,1.000000,-0.010763,0.066688,-0.036480
2026-03-03,1,0.015128,1.000000,0.015128,0.081816,-0.021352
2026-03-04,-1,-0.003017,-1.000000,0.003017,0.084833,-0.024369
2026-03-05,-1,-0.015158,-1.000000,0.015158,0.099991,-0.039527
2026-03-06,-1,0.013267,-1.000000,-0.013267,0.086724,-0.026260
2026-03-09,-3,0.000016,-1.000000,-0.000016,0.086708,-0.026244
2026-03-10,5,-0.000132,1.000000,-0.000132,0.086576,-0.026376
2026-03-11,-1,-0.017312,-1.000000,0.017312,0.103888,-0.043688
2026-03-12,3,-0.005945,1.000000,-0.005945,0.097943,-0.049633
2026-03-13,5,0.011155,1.000000,0.011155,0.109098,-0.038478
2026-03-16,5,0.004868,1.000000,0.004868,0.113966,-0.033610
2026-03-17,5,-0.014038,1.000000,-0.014038,0.099928,-0.047648
2026-03-18,3,-0.003165,1.000000,-0.003165,0.096763,-0.050813
2026-03-19,-1,-0.018655,-1.000000,0.018655,0.115418,-0.069468
2026-03-20,3,0.011414,1.000000,0.011414,0.126832,-0.058054
2026-03-23,3,-0.006860,1.000000,-0.006860,0.119972,-0.064914
2026-03-24,3,0.006554,1.000000,0.006554,0.126526,-0.058360
2026-03-25,3,-0.024157,1.000000,-0.020000,0.106526,-0.082517
2026-03-26,5,-0.019730,1.000000,-0.019730,0.086796,-0.102247
2026-03-27,3,-0.007673,1.000000,-0.007673,0.079123,-0.109920
2026-03-30,5,0.033293,1.000000,0.033293,0.112416,-0.076627
2026-03-31,5,0.012277,1.000000,0.012277,0.124693,-0.064350
2026-04-01,3,0.001146,1.000000,0.001146,0.125839,-0.063204
2026-04-02,3,0.005999,1.000000,0.005999,0.131838,-0.057205
2026-04-06,3,0.000153,1.000000,0.000153,0.131991,-0.057052
2026-04-07,1,0.029299,1.000000,0.029299,0.161290,-0.027753
2026-04-08,3,0.006742,1.000000,0.006742,0.168032,-0.021011
2026-04-09,5,0.001441,1.000000,0.001441,0.169473,-0.019570
2026-04-10,5,0.010289,1.000000,0.010289,0.179762,-0.009281
2026-04-13,5,0.017994,1.000000,0.017994,0.197756,0.008713
2026-04-14,3,0.013902,1.000000,0.013902,0.211658,0.022615
2026-04-15,-1,0.004805,-1.000000,-0.004805,0.206853,0.027420
2026-04-16,3,0.012999,1.000000,0.012999,0.219852,0.040419
2026-04-17,1,-0.003180,1.000000,-0.003180,0.216672,0.037239
2026-04-20,1,-0.003811,1.000000,-0.003811,0.212861,0.033428
2026-04-21,5,0.016592,1.000000,0.016592,0.229453,0.050020
2026-04-22,5,-0.005649,1.000000,-0.005649,0.223804,0.044371
