date,vote_sum,actual_ret_1d,position,pnl,cumulative_pnl,cumulative_buy_hold
2026-02-25,5,-0.012138,0.802664,-0.009743,0.029940,-0.023827
2026-02-26,5,-0.003206,0.805014,-0.002581,0.027359,-0.027033
2026-02-27,1,0.001316,0.164342,0.000216,0.027575,-0.025717
2026-03-02,5,-0.010763,0.819418,-0.008819,0.018756,-0.036480
2026-03-03,1,0.015128,0.161822,0.002448,0.021204,-0.021352
2026-03-04,-1,-0.003017,-0.172030,0.000519,0.021723,-0.024369
2026-03-05,-1,-0.015158,-0.171291,0.002596,0.024320,-0.039527
2026-03-06,-1,0.013267,-0.181860,-0.002413,0.021907,-0.026260
2026-03-09,-3,0.000016,-0.554223,-0.000009,0.021898,-0.026244
2026-03-10,5,-0.000132,0.927863,-0.000122,0.021775,-0.026376
2026-03-11,-1,-0.017312,-0.174416,0.003019,0.024795,-0.043688
2026-03-12,3,-0.005945,0.571280,-0.003396,0.021399,-0.049633
2026-03-13,5,0.011155,0.921545,0.010280,0.031678,-0.038478
2026-03-16,5,0.004868,0.916420,0.004461,0.036140,-0.033610
2026-03-17,5,-0.014038,0.889145,-0.012482,0.023658,-0.047648
2026-03-18,3,-0.003165,0.533924,-0.001690,0.021968,-0.050813
2026-03-19,-1,-0.018655,-0.170766,0.003186,0.025154,-0.069468
2026-03-20,3,0.011414,0.505921,0.005775,0.030928,-0.058054
2026-03-23,3,-0.006860,0.519125,-0.003561,0.027367,-0.064914
2026-03-24,3,0.006554,0.543352,0.003561,0.030928,-0.058360
2026-03-25,3,-0.024157,0.500138,-0.012082,0.018846,-0.082517
2026-03-26,5,-0.019730,0.791213,-0.015611,0.003236,-0.102247
2026-03-27,3,-0.007673,0.476004,-0.003652,-0.000417,-0.109920
2026-03-30,5,0.033293,0.654362,0.021786,0.021369,-0.076627
2026-03-31,5,0.012277,0.661922,0.008126,0.029495,-0.064350
2026-04-01,3,0.001146,0.396680,0.000455,0.029950,-0.063204
2026-04-02,3,0.005999,0.403710,0.002422,0.032372,-0.057205
2026-04-06,3,0.000153,0.415391,0.000064,0.032435,-0.057052
2026-04-07,1,0.029299,0.123554,0.003620,0.036055,-0.027753
2026-04-08,3,0.006742,0.368837,0.002487,0.038542,-0.021011
2026-04-09,5,0.001441,0.638288,0.000920,0.039462,-0.019570
2026-04-10,5,0.010289,0.636898,0.006553,0.046015,-0.009281
2026-04-13,5,0.017994,0.624377,0.011235,0.057250,0.008713
2026-04-14,3,0.013902,0.369447,0.005136,0.062386,0.022615
2026-04-15,-1,0.004805,-0.127462,-0.000612,0.061774,0.027420
2026-04-16,3,0.012999,0.381267,0.004956,0.066730,0.040419
2026-04-17,1,-0.003180,0.135238,-0.000430,0.066300,0.037239
2026-04-20,1,-0.003811,0.134603,-0.000513,0.065787,0.033428
2026-04-21,5,0.016592,0.674257,0.011187,0.076974,0.050020
2026-04-22,5,-0.005649,0.663518,-0.003748,0.073226,0.044371
