date,ensemble_signal,pred_direction,actual_ret_1d,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2026-02-12,0.014343,1,0.002129,1,0.002129,-0.003564,-0.035914
2026-02-13,0.001256,1,-0.001031,0,-0.001031,-0.004595,-0.036945
2026-02-17,0.009071,1,0.007439,1,0.007439,0.002844,-0.029506
2026-02-18,0.000754,1,-0.003837,0,-0.003837,-0.000993,-0.033343
2026-02-19,0.004143,1,0.008810,1,0.008810,0.007817,-0.024533
2026-02-20,0.015962,1,-0.012229,0,-0.012229,-0.004412,-0.036762
2026-02-23,0.011072,1,0.010684,1,0.010684,0.006272,-0.026078
2026-02-24,0.007812,1,0.014389,1,0.014389,0.020661,-0.011689
2026-02-25,0.005739,1,-0.012138,0,-0.012138,0.008523,-0.023827
2026-02-26,0.011010,1,-0.003206,0,-0.003206,0.005317,-0.027033
2026-02-27,0.001999,1,0.001316,1,0.001316,0.006633,-0.025717
2026-03-02,0.013439,1,-0.010763,0,-0.010763,-0.004130,-0.036480
2026-03-03,0.004123,1,0.015128,1,0.015128,0.010998,-0.021352
2026-03-04,-0.003517,-1,-0.003017,1,0.003017,0.014015,-0.024369
2026-03-05,0.005831,1,-0.015158,0,-0.015158,-0.001143,-0.039527
2026-03-06,0.004690,1,0.013267,1,0.013267,0.012124,-0.026260
2026-03-09,0.003384,1,0.000016,1,0.000016,0.012140,-0.026244
2026-03-10,0.004349,1,-0.000132,0,-0.000132,0.012008,-0.026376
2026-03-11,0.004390,1,-0.017312,0,-0.017312,-0.005304,-0.043688
2026-03-12,0.008102,1,-0.005945,0,-0.005945,-0.011249,-0.049633
2026-03-13,0.006086,1,0.011155,1,0.011155,-0.000094,-0.038478
2026-03-16,0.004805,1,0.004868,1,0.004868,0.004774,-0.033610
2026-03-17,0.004943,1,-0.014038,0,-0.014038,-0.009264,-0.047648
2026-03-18,0.007124,1,-0.003165,0,-0.003165,-0.012429,-0.050813
2026-03-19,0.006989,1,-0.018655,0,-0.018655,-0.031084,-0.069468
2026-03-20,0.006196,1,0.011414,1,0.011414,-0.019670,-0.058054
2026-03-23,0.005906,1,-0.006860,0,-0.006860,-0.026530,-0.064914
2026-03-24,0.005264,1,0.006554,1,0.006554,-0.019976,-0.058360
2026-03-25,-0.000565,-1,-0.024157,1,0.024157,0.004181,-0.082517
2026-03-26,0.011632,1,-0.019730,0,-0.019730,-0.015549,-0.102247
2026-03-27,0.009002,1,-0.007673,0,-0.007673,-0.023222,-0.109920
2026-03-30,0.014004,1,0.033293,1,0.033293,0.010071,-0.076627
2026-03-31,0.003659,1,0.012277,1,0.012277,0.022348,-0.064350
2026-04-01,0.008005,1,0.001146,1,0.001146,0.023494,-0.063204
2026-04-02,0.014347,1,0.005999,1,0.005999,0.029493,-0.057205
2026-04-06,0.009393,1,0.000153,1,0.000153,0.029646,-0.057052
2026-04-07,0.007306,1,0.029299,1,0.029299,0.058945,-0.027753
2026-04-08,0.002580,1,0.006742,1,0.006742,0.065687,-0.021011
2026-04-09,0.007007,1,0.001441,1,0.001441,0.067128,-0.019570
2026-04-10,0.007010,1,0.010289,1,0.010289,0.077417,-0.009281
2026-04-13,0.005888,1,0.017994,1,0.017994,0.095411,0.008713
2026-04-14,0.003220,1,0.013902,1,0.013902,0.109313,0.022615
2026-04-15,0.002476,1,0.004805,1,0.004805,0.114118,0.027420
2026-04-16,0.003937,1,0.012999,1,0.012999,0.127117,0.040419
2026-04-17,0.002664,1,-0.003180,0,-0.003180,0.123937,0.037239
2026-04-20,0.002502,1,-0.003811,0,-0.003811,0.120126,0.033428
2026-04-21,0.004827,1,0.016592,1,0.016592,0.136718,0.050020
2026-04-22,0.003847,1,-0.005649,0,-0.005649,0.131069,0.044371
