feature,domain,baseline_sharpe,permuted_sharpe,sharpe_drop,rank
dow_wed,calendar,2.110500,1.998200,0.112400,68
vvix_over_vix,volatility_regime,2.110500,2.001200,0.109300,69
qqq_logret_120d,qqq_primary,2.110500,2.005100,0.105400,70
sec_xlp_logret_5d,sectors,2.110500,2.014300,0.096200,71
copper_logret_1d,commodities,2.110500,2.014900,0.095600,72
xlv_logret_5d,sectors,2.110500,2.026900,0.083600,73
qqq_natr14,qqq_primary,2.110500,2.035200,0.075300,74
xli_logret_5d,sectors,2.110500,2.035200,0.075300,75
skew_change_5d,volatility_regime,2.110500,2.038200,0.072300,76
xly_logret_1d,sectors,2.110500,2.049300,0.061200,77
opex_week,calendar,2.110500,2.051000,0.059600,78
sec_xlb_logret_5d,sectors,2.110500,2.052900,0.057700,79
xlb_logret_1d,sectors,2.110500,2.063000,0.047600,80
fomc_week,calendar,2.110500,2.063400,0.047100,81
smh_logret_20d,industry_tilts,2.110500,2.068500,0.042100,82
qqq_park_vol_5d,qqq_primary,2.110500,2.074000,0.036600,83
xly_minus_xlp_5d,sectors,2.110500,2.073900,0.036600,84
yld_30y,yields_curve,2.110500,2.080800,0.029700,85
shy_logret_20d,bonds_credit,2.110500,2.080800,0.029700,86
sec_xly_logret_5d,sectors,2.110500,2.080800,0.029700,87
qqq_close_to_sma100,qqq_primary,2.110500,2.085900,0.024600,88
usdjpy_logret_1d,fx_macro,2.110500,2.091300,0.019300,89
xlk_logret_5d,sectors,2.110500,2.092300,0.018200,90
silver_logret_5d,commodities,2.110500,2.096000,0.014500,91
gold_logret_20d,commodities,2.110500,2.098400,0.012100,92
qqq_park_vol_20d,qqq_primary,2.110500,2.110500,0.000000,93
qqq_gk_vol_20d,qqq_primary,2.110500,2.110500,0.000000,94
qqq_yz_vol_60d,qqq_primary,2.110500,2.110500,0.000000,95
qqq_mom_3m,qqq_primary,2.110500,2.110500,0.000000,96
qqq_mom_12_1,qqq_primary,2.110500,2.110500,0.000000,97
vxn_logret_1d,volatility_regime,2.110500,2.110500,0.000000,98
yld_10y,yields_curve,2.110500,2.110500,0.000000,99
yld_5y,yields_curve,2.110500,2.110500,0.000000,100
yld_3m,yields_curve,2.110500,2.110500,0.000000,101
term_10y_5y,yields_curve,2.110500,2.110500,0.000000,102
gold_over_qqq,commodities,2.110500,2.110500,0.000000,103
qqq_over_spy,qqq_primary,2.110500,2.110500,0.000000,104
qqq_over_dia,qqq_primary,2.110500,2.110500,0.000000,105
qqq_over_iwm,qqq_primary,2.110500,2.110500,0.000000,106
qqq_over_ixic,qqq_primary,2.110500,2.110500,0.000000,107
lag_ret_5d,autoregressive,2.110500,2.110500,0.000000,108
fomc_day,calendar,2.110500,2.110500,0.000000,109
vix_over_vix3m,volatility_regime,2.110500,2.111100,-0.000600,110
