date,vote_sum,actual_ret_1d,position,pnl,cumulative_pnl,cumulative_buy_hold
2026-02-25,5,-0.012138,1.000000,-0.012138,0.032040,-0.023827
2026-02-26,5,-0.003206,1.000000,-0.003206,0.028834,-0.027033
2026-02-27,1,0.001316,0.200000,0.000263,0.029097,-0.025717
2026-03-02,5,-0.010763,1.000000,-0.010763,0.018334,-0.036480
2026-03-03,1,0.015128,0.200000,0.003026,0.021360,-0.021352
2026-03-04,-1,-0.003017,-0.200000,0.000603,0.021963,-0.024369
2026-03-05,-1,-0.015158,-0.200000,0.003032,0.024995,-0.039527
2026-03-06,-1,0.013267,-0.200000,-0.002653,0.022341,-0.026260
2026-03-09,-3,0.000016,-0.600000,-0.000010,0.022332,-0.026244
2026-03-10,5,-0.000132,1.000000,-0.000132,0.022200,-0.026376
2026-03-11,-1,-0.017312,-0.200000,0.003462,0.025662,-0.043688
2026-03-12,3,-0.005945,0.600000,-0.003567,0.022095,-0.049633
2026-03-13,5,0.011155,1.000000,0.011155,0.033250,-0.038478
2026-03-16,5,0.004868,1.000000,0.004868,0.038118,-0.033610
2026-03-17,5,-0.014038,1.000000,-0.014038,0.024080,-0.047648
2026-03-18,3,-0.003165,0.600000,-0.001899,0.022181,-0.050813
2026-03-19,-1,-0.018655,-0.200000,0.003731,0.025912,-0.069468
2026-03-20,3,0.011414,0.600000,0.006848,0.032760,-0.058054
2026-03-23,3,-0.006860,0.600000,-0.004116,0.028644,-0.064914
2026-03-24,3,0.006554,0.600000,0.003932,0.032577,-0.058360
2026-03-25,3,-0.024157,0.600000,-0.014494,0.018083,-0.082517
2026-03-26,5,-0.019730,1.000000,-0.019730,-0.001647,-0.102247
2026-03-27,3,-0.007673,0.600000,-0.004604,-0.006251,-0.109920
2026-03-30,5,0.033293,1.000000,0.033293,0.027042,-0.076627
2026-03-31,5,0.012277,1.000000,0.012277,0.039319,-0.064350
2026-04-01,3,0.001146,0.600000,0.000688,0.040006,-0.063204
2026-04-02,3,0.005999,0.600000,0.003599,0.043606,-0.057205
2026-04-06,3,0.000153,0.600000,0.000092,0.043698,-0.057052
2026-04-07,1,0.029299,0.200000,0.005860,0.049557,-0.027753
2026-04-08,3,0.006742,0.600000,0.004045,0.053603,-0.021011
2026-04-09,5,0.001441,1.000000,0.001441,0.055044,-0.019570
2026-04-10,5,0.010289,1.000000,0.010289,0.065333,-0.009281
2026-04-13,5,0.017994,1.000000,0.017994,0.083327,0.008713
2026-04-14,3,0.013902,0.600000,0.008341,0.091668,0.022615
2026-04-15,-1,0.004805,-0.200000,-0.000961,0.090707,0.027420
2026-04-16,3,0.012999,0.600000,0.007799,0.098506,0.040419
2026-04-17,1,-0.003180,0.200000,-0.000636,0.097870,0.037239
2026-04-20,1,-0.003811,0.200000,-0.000762,0.097108,0.033428
2026-04-21,5,0.016592,1.000000,0.016592,0.113700,0.050020
2026-04-22,5,-0.005649,1.000000,-0.005649,0.108051,0.044371
